# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240114
# End date: 20240120
Landing page,Sessions,Users,New users,Average engagement time per session,Conversions,Total revenue
/faq/how-much-is-the-annual-chapter-fee,1,1,1,8,0,0
/faq/what-is-the-student-login-account-for,1,1,1,7,0,0
/faq/who-can-attend-the-chapter-meetings,1,1,1,9,0,0
/faq/who-is-nstems-leadership-team,1,1,1,58,0,0
/faqs,1,0,0,0,0,0
/helpful-tips-for-a-successful-chapter,1,1,0,350,0,0
/high-school,1,1,1,0,0,0
/leader/cameron-hendricks,1,1,1,0,0,0
/leader/cammie-rodriguez,1,1,1,221,0,0
/leader/christopher-lee,1,1,1,7,0,0
/leader/emily-sonnenfroh,1,1,1,40,0,0
/leader/eric-magers,1,1,1,59,0,0
/leader/patricia-kitchens,1,1,1,8,0,0
/leader/shira-frankel,1,1,1,0,0,0
/leader/sophie-mao,1,1,0,9,0,0
/leader/srinika-pattaswamy,1,1,1,100,0,0
/leader/tanvi-mahajani,1,1,1,23,0,0
/leader/wyatt-williams,1,1,1,47,0,0
/mentors-at-nstem/mentorship-application,1,1,1,71,0,0
/new-advisor-dashboard-dupe,1,1,0,47,0,0
/nstem-commitment-to-environmental-sustainability,1,1,1,7,0,0
/nstem-member-pledge,1,1,1,7,0,0
/payment-instructions,1,1,0,168,0,0
/product-category/chapter-merchandise,1,1,0,607,0,0
/register,1,1,0,4,0,0
/resource-library/submit-a-resource,1,1,0,140,0,0
/scholarship-grant/georgia-educational-technology-consortium-innovation-grants,1,1,1,5,0,0
/scholarship-grant/montana-federation-of-public-employees-karen-cox-memorial-grant-for-teachers,1,1,1,16,0,0
/scholarship-grant/ndia-michigan-stem-scholarship-program,1,1,1,1,0,0
/scholarship-grant/oklahoma-engineering-foundation-scholarship,1,1,1,30,0,0
/scholarship-grant/utah-energy-workforce-scholarship,1,1,1,14,0,0
/shop,1,1,1,0,0,0
/shop/apparel-accessories/eco-pen-2,1,1,1,0,0,0
/shop/apparel-accessories/silicone-wristband-adult,1,1,1,3,0,0
/shop/chapter-merchandise/graduation-certificates,1,1,1,122,0,0
/shop/chapter-merchandise/nstem-bundle,1,1,1,1092,0,0
/shop/chapter-merchandise/podium-banner,1,1,1,15,0,0
/stage/archives/13814,1,1,1,231,0,0
/stage/archives/13999,1,1,1,34,0,0
/stage/archives/29874,1,1,1,27,0,0
/stage/archives/30132,1,1,1,57,0,0
/stage/archives/30710,1,1,1,11,0,0
/stage/archives/32637,1,1,1,0,0,0
/stage/archives/33177,1,1,1,21,0,0
/stage/archives/37247,1,1,1,10,0,0
/stage/archives/37521,1,1,1,48,0,0
/stage/archives/40744,1,1,1,20,0,0
/stage/elementary-school-3-5,1,1,1,13,0,0
/stage/internships/internship-details,1,1,0,390,0,0
/stage/internships/meet-our-interns,1,1,1,107,0,0
/stage/internships/new-meet-our-interns,1,1,1,4,0,0
/stage/main-site-new-about-us-page,1,1,0,6,0,0
/stage/resource-library,1,1,1,140,0,0
/stage/shop/chapter-merchandise/card,1,1,1,53,0,0
/stage/shop/chapter-merchandise/cords,1,1,1,5,0,0
/stage/shop/chapter-merchandise/custom-induction-certificates,1,1,1,58,0,0
/stem-certificate,1,1,1,7,0,0
/submit-leadership-information,1,1,0,275,0,0
/test-applications,1,1,0,142,0,0
